program_id,datetime,star,user,result,time,memory,language,problem_code,uses recursion,uses iteration
34892500,11:49 PM 30/06/20,2,syedmizbah,wrong answer,0.00,15.7M,C++14,ECJN202,0,0
34892508,11:50 PM 30/06/20,2,syedmizbah,wrong answer,0.00,14.9M,C++14,ECJN202,0,0
34892521,11:50 PM 30/06/20,2,syedmizbah,wrong answer,0.00,14.9M,C++14,ECJN202,0,0
34892548,11:52 PM 30/06/20,2,syedmizbah,accepted,0.00,14.9M,C++14,ECJN202,0,0
34892929,12:20 AM 01/07/20,3,slayer_13,compilation error,-,-,C++14,ECJN202,0,0
34892964,12:22 AM 01/07/20,3,slayer_13,wrong answer,0.00,14.9M,C++14,ECJN202,0,0
34892974,12:23 AM 01/07/20,3,slayer_13,compilation error,-,-,C++14,ECJN202,0,0
34892984,12:24 AM 01/07/20,3,slayer_13,wrong answer,0.00,14.9M,C++14,ECJN202,0,0
34893006,12:25 AM 01/07/20,3,slayer_13,accepted,0.00,14.9M,C++14,ECJN202,0,0
34893064,12:30 AM 01/07/20,3,theyseedesi,wrong answer,0.00,14.9M,C++14,ECJN202,0,0
34893074,12:31 AM 01/07/20,3,theyseedesi,accepted,0.00,14.9M,C++14,ECJN202,0,0
34893247,12:47 AM 01/07/20,1,praveen2105,accepted,0.02,17.6M,PYTH 3.6,ECJN202,0,0
34893635,01:33 AM 01/07/20,2,s_shivam247,wrong answer,0.00,14.9M,C++14,ECJN202,0,0
34893645,01:34 AM 01/07/20,2,s_shivam247,wrong answer,0.00,14.9M,C++14,ECJN202,0,0
34893650,01:34 AM 01/07/20,2,s_shivam247,accepted,0.00,14.9M,C++14,ECJN202,0,0
34893655,01:35 AM 01/07/20,2,s_shivam247,accepted,0.00,14.9M,C++14,ECJN202,0,0
34893789,01:55 AM 01/07/20,5,munch_01,accepted,0.01,17.6M,PYTH 3.6,ECJN202,0,0
34894542,06:47 AM 01/07/20,2,manojyadav1234,wrong answer,0.00,14.9M,C++14,ECJN202,0,0
34894544,06:48 AM 01/07/20,2,manojyadav1234,accepted,0.00,14.9M,C++14,ECJN202,0,0
34894546,06:49 AM 01/07/20,2,manojyadav1234,accepted,0.00,14.9M,C++14,ECJN202,false,true
34894563,06:58 AM 01/07/20,2,himdtu,accepted,0.00,14.9M,C++14,ECJN202,false,true
34894617,07:16 AM 01/07/20,1,tgopi,accepted,0.10,2197M,JAVA,ECJN202,0,0
34894640,07:21 AM 01/07/20,0,noobcoder37,wrong answer,0.10,2133M,JAVA,ECJN202,0,0
34894646,07:22 AM 01/07/20,0,noobcoder37,wrong answer,0.10,2133M,JAVA,ECJN202,0,0
34894660,07:25 AM 01/07/20,0,noobcoder37,wrong answer,0.10,2133M,JAVA,ECJN202,0,0
34894667,07:26 AM 01/07/20,0,noobcoder37,compilation error,-,-,JAVA,ECJN202,0,0
34894672,07:27 AM 01/07/20,0,noobcoder37,wrong answer,0.11,2133M,JAVA,ECJN202,0,0
34894677,07:28 AM 01/07/20,0,noobcoder37,wrong answer,0.11,2133M,JAVA,ECJN202,0,0
34894680,07:29 AM 01/07/20,0,noobcoder37,wrong answer,0.11,2133M,JAVA,ECJN202,0,0
34894694,07:31 AM 01/07/20,0,noobcoder37,wrong answer,0.11,2133M,JAVA,ECJN202,0,0
34894703,07:32 AM 01/07/20,0,noobcoder37,wrong answer,0.10,2133M,JAVA,ECJN202,0,0
34894706,07:33 AM 01/07/20,0,noobcoder37,accepted,0.10,2133M,JAVA,ECJN202,0,0
34894889,08:23 AM 01/07/20,2,vijeta0104,wrong answer,0.00,9.2M,C,ECJN202,0,0
34894929,08:30 AM 01/07/20,2,vijeta0104,wrong answer,0.00,9.2M,C,ECJN202,0,0
